	X0.hr.rep.1	X2.hr.rep.1	X4.hr.rep.1	X6.hr.rep.1	X12.hr.rep.1	X24.hr.rep.1	X0.hr.rep.2	X2.hr.rep.2	X4.hr.rep.2	X6.hr.rep.2	X12.hr.rep.2	X24.hr.rep.2	X0.hr.rep.3	X2.hr.rep.3	X4.hr.rep.3	X6.hr.rep.3	X12.hr.rep.3	X24.hr.rep.3	GN	logFC	AveExpr	t	P.Value	adj.P.Val	B	Significance
A0AVT1	4.57927854852722	4.35947739377216	4.6747781490119	4.47821806876114	4.58426259299616	4.87126228311192	5.2426076687586	5.19073283352658	5.3607752991171	5.0969555685544	5.19016361727339	5.28247665627624	4.84474368239619	4.69135068530252	4.84497067117825	4.8399071287945	4.63447500015607	5.05879059992595	UBA6	-0.0859095630854648	4.8459218516846	-0.741399094807488	0.481421452076291	0.707381332527026	-6.88960185426344	Not significant
A0FGR8-2	4.87532448305683	4.67448271797934	4.99312484071884	4.91324621428358	4.59414015948086	4.39784485981647	5.13652019969299	5.14630429500941	5.26815250068459	5.25098547601442	5.18046265799375	4.99421598628867	4.49659861536326	4.75358182740925	4.74445826538759	4.3304921777415	4.50189433698911	4.11950506787876	ESYT2	-0.0773153812164544	4.79749007542947	-0.627977252515765	0.548991262673328	0.749100089421263	-6.97200315025342	Not significant
A0JNW5	4.488926995946	4.47838305662279	4.60438799944817	4.54695293848398	4.50574828797181	4.48080254140346	3.61417917677413	3.87325720835487	3.65960755347025	4.03010933455779	3.81499383546545	3.7778387839819	4.46384943416043	4.71266193276939	4.2962126179797	4.31331561127481	4.02281323333116	3.84362493823173	UHRF1BP1L	-0.0744667500373804	4.15175182727483	-0.499878872254595	0.631749824195614	0.802922785148823	-7.05015653565438	Not significant
A0MZ66-3	4.92698319928332	4.89172267783311	5.12716840914614	4.96841310272602	4.74932511757627	5.14523979377776	4.75273909057806	4.65270029184093	4.83131387526003	4.61868982892911	4.65547889296013	4.80796142625159	4.29990958427384	4.91770717914326	4.88616198839719	4.7085273357131	4.25211706672379	4.65152414832544	SHTN1	-0.10757026562501	4.6060921585659	-0.954861204274445	0.369934846647478	0.618918618531377	-6.70365231764538	Not significant
A1L0T0	4.93620639965682	4.54397005680998	4.81011779590535	4.78378507635463	4.74725957182078	4.48096211579915	4.39563876349065	4.17406042868053	4.15565944804399	4.14019302300773	4.0374968221956	4.12666794688204	3.69072834803916	3.81715232328538	3.64969224354133	4.01914539872662	3.50292021716822	3.57355154672298	ILVBL	-0.244965633334011	4.2183750203952	-2.13441445536278	0.0682814366459873	0.285136489528844	-5.18932133312682	Not significant
A1X283	5.33526244158373	5.10133533377613	5.3340792749721	5.25504450854489	6.08853778340602	7.06294788433046	3.67252219437955	4.31541586814326	3.72222072036071	3.25009811723831	3.25760693639532	5.14053490464378	2.51600153011426	2.19797933079846	2.31391730338673	2.28217398010052	2.95623636587935	3.91662844483184	SH3PXD2B	0.259531639867716	3.97102787529304	1.21797937512782	0.260812664860103	0.517314450846594	-6.42610130123177	Not significant
A2RRP1	4.93225863892771	5.28817578569833	5.23553678970365	5.3810182692233	5.35086509280787	5.52053078790394	3.77504385528815	3.95341350181469	3.85408330633437	3.91802135212012	4.2250391628378	3.92520162239797	2.6258832887263	2.87483471213346	2.27164771464451	2.67445389829486	2.76706031452476	2.74000180923916	NBAS	0.336592929076089	3.9460250588521	2.75586741418479	0.0268903857793644	0.19235589294172	-4.24915420532738	Not significant
A2RUS2	4.14903271585783	4.50807630067288	3.98467773462309	4.1571739258395	4.70763109801521	4.82037638331344	4.60491419554878	4.91360879195733	4.83970725656298	4.90812618760969	5.09318698548733	5.2935683939176	3.47071737986592	3.6123083250692	3.22788150777935	3.26562102661357	3.21967095745458	3.62452446538991	DENND3	0.265274916561529	4.20752555537161	1.51859719927506	0.17056243984454	0.424871730593597	-6.05688230801587	Not significant
A3KN83	3.49057919466159	3.58013396963277	3.540546913218	3.48054893019014	3.61044949987054	3.32678204083117	4.24366428644151	4.14520233888758	4.14974279260882	4.33691647227759	4.53205013977186	4.25399578142758	3.26697922352597	3.1281191496944	2.95774142934922	3.04726234614608	2.88608381987256	2.89394413130434	SBNO1	0.00912025162862856	3.67163436069067	0.059783569240619	0.953918238533188	0.971114108108264	-7.18689698179905	Not significant
A4D1P6	3.70444066614191	4.31165969255598	3.9174348373121	3.78104504369451	3.66654830242624	4.00398752841393	4.91078027329153	4.84088926347304	4.99926427215045	4.87537126298164	4.81365219066252	4.83394847474011	3.43875761850123	3.82867444678106	3.39028592688935	3.40792017907689	3.11950477771507	3.49654399940417	WDR91	-0.151424429043613	3.94228063812308	-1.26653451944884	0.243909814630878	0.501850874590474	-6.36984681687799	Not significant
A5YKK6	4.43019059326118	4.46086486919921	4.52605029399343	4.35549764200168	4.47278943376825	4.47943900472978	4.71026676160413	4.77069998698111	4.67184225021302	4.59625400146648	4.9829118720699	4.87351608059281	4.84564231731599	4.64918755442979	4.39308521710791	4.60461244195286	4.60013893028436	4.96209638010305	CNOT1	0.0232468546470697	4.67365665138397	0.171359605573983	0.868555156477713	0.934016413313208	-7.17236538549653	Not significant
A6NC98	4.64175495695062	4.84427815265555	4.83925102206387	4.83317955127403	4.70761387955797	4.54525346204721	4.36971065923975	4.32210627947275	4.32932627018284	4.32398908577213	4.06160524563145	4.00541919440271	4.35236556834617	4.59131531261421	4.386761411376	4.26248193582558	4.37332663250138	3.98632570529127	CCDC88B	-0.0737618089485811	4.41772949037122	-0.581747331082564	0.578103758108348	0.767704619369131	-7.00208053563398	Not significant
A6NDG6	4.79107772129719	4.94662513482702	4.82501430767786	4.42734216222488	4.58948427753399	4.29145103385603	5.1835082551931	5.41554989597542	5.12774517066765	5.48356990746774	5.15274325192904	4.90467430183387	5.36986819836237	5.54635448492784	5.38124482487522	5.18072655268942	4.98221481044422	4.86224604330361	PGP	-0.206670611648471	5.01148275245998	-1.67705322024187	0.135310199082621	0.385932113075591	-5.84503808963381	Not significant
A6NHR9	4.28965845937083	4.2044638614218	4.42241778964487	4.6464663037158	4.46096487795089	4.65578977329403	4.63647597011509	4.80956255407948	4.80880175506109	4.75166000747654	4.89413874663128	5.15043561858408	4.21872602422156	4.36303042145718	4.23395294359336	4.33474027797404	4.44507677729718	4.74728826269524	SMCHD1	0.218439982723957	4.49084014259781	1.95571548879073	0.0893506366981258	0.320646264806318	-5.45164568969064	Not significant
