	X0.hr.rep.1	X2.hr.rep.1	X4.hr.rep.1	X6.hr.rep.1	X12.hr.rep.1	X24.hr.rep.1	X0.hr.rep.2	X2.hr.rep.2	X4.hr.rep.2	X6.hr.rep.2	X12.hr.rep.2	X24.hr.rep.2	X0.hr.rep.3	X2.hr.rep.3	X4.hr.rep.3	X6.hr.rep.3	X12.hr.rep.3	X24.hr.rep.3	GN	logFC	AveExpr	t	P.Value	adj.P.Val	B	Significance
A0AVT1	4.57927854852722	4.35947739377216	4.6747781490119	4.47821806876114	4.58426259299616	4.87126228311192	5.2426076687586	5.19073283352658	5.3607752991171	5.0969555685544	5.19016361727339	5.28247665627624	4.84474368239619	4.69135068530252	4.84497067117825	4.8399071287945	4.63447500015607	5.05879059992595	UBA6	0.0712980732084128	4.92452566983154	0.616917427820247	0.554609997416379	0.994402922156832	-5.86733879087282	Not significant
A0FGR8-2	4.87532448305683	4.67448271797934	4.99312484071884	4.91324621428358	4.59414015948086	4.39784485981647	5.13652019969299	5.14630429500941	5.26815250068459	5.25098547601442	5.18046265799375	4.99421598628867	4.49659861536326	4.75358182740925	4.74445826538759	4.3304921777415	4.50189433698911	4.11950506787876	ESYT2	0.165764102892645	4.91902981748402	1.42896811310476	0.191255076619971	0.922130905123322	-5.10267186786339	Not significant
A0JNW5	4.488926995946	4.47838305662279	4.60438799944817	4.54695293848398	4.50574828797181	4.48080254140346	3.61417917677413	3.87325720835487	3.65960755347025	4.03010933455779	3.81499383546545	3.7778387839819	4.46384943416043	4.71266193276939	4.2962126179797	4.31331561127481	4.02281323333116	3.84362493823173	UHRF1BP1L	-0.0022491453274812	4.18786062962978	-0.0184520045442138	0.985734771664633	0.997540474206784	-6.06518238928202	Not significant
A0MZ66-3	4.92698319928332	4.89172267783311	5.12716840914614	4.96841310272602	4.74932511757627	5.14523979377776	4.75273909057806	4.65270029184093	4.83131387526003	4.61868982892911	4.65547889296013	4.80796142625159	4.29990958427384	4.91770717914326	4.88616198839719	4.7085273357131	4.25211706672379	4.65152414832544	SHTN1	0.288337466222713	4.80404602448976	2.09495963584341	0.0698393640888374	0.890794307786762	-4.22759533814054	Not significant
A1L0T0	4.93620639965682	4.54397005680998	4.81011779590535	4.78378507635463	4.74725957182078	4.48096211579915	4.39563876349065	4.17406042868053	4.15565944804399	4.14019302300773	4.0374968221956	4.12666794688204	3.69072834803916	3.81715232328538	3.64969224354133	4.01914539872662	3.50292021716822	3.57355154672298	ILVBL	-0.135701341231988	4.27300716644622	-1.1524164508996	0.282754671530444	0.952056846650995	-5.41329828803678	Not significant
A1X283	5.33526244158373	5.10133533377613	5.3340792749721	5.25504450854489	6.08853778340602	7.06294788433046	3.67252219437955	4.31541586814326	3.72222072036071	3.25009811723831	3.25760693639532	5.14053490464378	2.51600153011426	2.19797933079846	2.31391730338673	2.28217398010052	2.95623636587935	3.91662844483184	SH3PXD2B	-0.0511896224526672	3.81566724413285	-0.424823222724543	0.682274604007043	0.996511588148424	-5.97023771403897	Not significant
A2RRP1	4.93225863892771	5.28817578569833	5.23553678970365	5.3810182692233	5.35086509280787	5.52053078790394	3.77504385528815	3.95341350181469	3.85408330633437	3.91802135212012	4.2250391628378	3.92520162239797	2.6258832887263	2.87483471213346	2.27164771464451	2.67445389829486	2.76706031452476	2.74000180923916	NBAS	0.00936067591345537	3.78240893227078	0.0624961574644022	0.951716585862162	0.997540474206784	-6.06328122169547	Not significant
A2RUS2	4.14903271585783	4.50807630067288	3.98467773462309	4.1571739258395	4.70763109801521	4.82037638331344	4.60491419554878	4.91360879195733	4.83970725656298	4.90812618760969	5.09318698548733	5.2935683939176	3.47071737986592	3.6123083250692	3.22788150777935	3.26562102661357	3.21967095745458	3.62452446538991	DENND3	-0.0574659307690372	4.04615513170632	-0.421920903887015	0.684305363743096	0.996511588148424	-5.97151798984074	Not significant
A3KN83	3.49057919466159	3.58013396963277	3.540546913218	3.48054893019014	3.61044949987054	3.32678204083117	4.24366428644151	4.14520233888758	4.14974279260882	4.33691647227759	4.53205013977186	4.25399578142758	3.26697922352597	3.1281191496944	2.95774142934922	3.04726234614608	2.88608381987256	2.89394413130434	SBNO1	-0.117730523151011	3.60820897330085	-0.937241514333847	0.376338270238421	0.971610247003532	-5.62231014553008	Not significant
A4D1P6	3.70444066614191	4.31165969255598	3.9174348373121	3.78104504369451	3.66654830242624	4.00398752841393	4.91078027329153	4.84088926347304	4.99926427215045	4.87537126298164	4.81365219066252	4.83394847474011	3.43875761850123	3.82867444678106	3.39028592688935	3.40792017907689	3.11950477771507	3.49654399940417	WDR91	0.0843354928057427	4.06016059904776	0.701163039821006	0.503284190936939	0.9843977112838	-5.81136356645372	Not significant
